device_id,address,date,card_id,sum,banknotes,coins,descr
341,"Сокільники, Збройних сил України, 2 1.50 грн",2025-10-28 13:27:52,24662,0.00,0.00,1644.00,Р”РјРёС‚СЂРѕ  - 
316,"Стрийська, 108  ЖК Національний 1.50 грн",2025-11-01 14:22:30,14147,0.00,32918.00,0.00,Р СѓСЃР»Р°РЅ  - 
316,"Стрийська, 108  ЖК Національний 1.50 грн",2025-11-01 14:22:38,14147,0.00,0.00,12362.00,Р СѓСЃР»Р°РЅ  - 
265,"Стрийська, 115 Близенько 1.50 грн",2025-11-03 09:18:40,24662,0.00,663.00,0.00,Р”РјРёС‚СЂРѕ  - 
265,"Стрийська, 115 Близенько 1.50 грн",2025-11-03 09:18:49,24662,0.00,0.00,1215.00,Р”РјРёС‚СЂРѕ  - 
244,"Стрийська, 45в Близенько 1.50 грн",2025-10-29 18:20:12,14147,0.00,948.00,0.00,Р СѓСЃР»Р°РЅ  - 
244,"Стрийська, 45в Близенько 1.50 грн",2025-10-29 18:20:21,14147,0.00,0.00,0.00,Р СѓСЃР»Р°РЅ  - 
244,"Стрийська, 45в Близенько 1.50 грн",2025-10-29 18:20:37,14147,0.00,0.00,1551.00,Р СѓСЃР»Р°РЅ  - 
244,"Стрийська, 45в Близенько 1.50 грн",2025-10-29 18:20:48,14147,0.00,0.00,0.00,Р СѓСЃР»Р°РЅ  - 
127,"Стрийська, 51 Близенько 2.00 грн",2025-10-25 15:43:14,14147,0.00,1337.00,0.00,Р СѓСЃР»Р°РЅ  - 
127,"Стрийська, 51 Близенько 2.00 грн",2025-10-25 15:43:21,14147,0.00,0.00,1566.50,Р СѓСЃР»Р°РЅ  - 
50,"Стрийська, 61  Близенько 1.50 грн",2025-11-03 08:20:59,0,0.00,569.00,0.00,
50,"Стрийська, 61  Близенько 1.50 грн",2025-11-03 08:21:13,0,0.00,0.00,1.25,
323,"Суботівська, 10а Близенько 1.50 грн",2025-10-31 18:19:03,24662,0.00,1286.00,0.00,Р”РјРёС‚СЂРѕ  - 
323,"Суботівська, 10а Близенько 1.50 грн",2025-10-31 18:19:08,24662,0.00,0.00,765.00,Р”РјРёС‚СЂРѕ  - 
323,"Суботівська, 10а Близенько 1.50 грн",2025-10-31 18:35:07,24662,0.00,20.00,0.00,Р”РјРёС‚СЂРѕ  - 
214,"Суботівська, 7 Близенько 1.50 грн",2025-10-31 18:42:12,24662,0.00,700.00,0.00,Р”РјРёС‚СЂРѕ  - 
