device_id,address,date,card_id,sum,banknotes,coins,descr,tech
87,"Довженка, 5  Близенько 1.50 грн",2025-11-01 17:38:32,14147,0.0,1118.0,0.0,ruslan,ruslan
87,"Довженка, 5  Близенько 1.50 грн",2025-11-01 17:38:38,14147,0.0,0.0,1922.0,ruslan,ruslan
118,"Драгана, 4б  Близенько 2.00 грн",2025-11-01 16:52:33,14147,0.0,1661.0,0.0,ruslan,ruslan
118,"Драгана, 4б  Близенько 2.00 грн",2025-11-01 16:52:46,14147,0.0,0.0,871.0,ruslan,ruslan
108,"Дунайська, 7 Близенько 1.50 грн",2025-10-29 16:49:45,14147,0.0,2374.0,0.0,ruslan,ruslan
108,"Дунайська, 7 Близенько 1.50 грн",2025-10-29 16:50:09,14147,0.0,0.0,3936.5,ruslan,ruslan
108,"Дунайська, 7 Близенько 1.50 грн",2025-10-29 16:50:19,14147,0.0,0.0,0.0,ruslan,ruslan
234,"Залізнична, 21 Близенько 1.50 грн",2025-10-29 16:22:32,0,0.0,2342.0,0.0,dmutro,dmutro
234,"Залізнична, 21 Близенько 1.50 грн",2025-10-29 16:22:37,0,0.0,0.0,337.06,dmutro,dmutro
180,"Замарстинівська, 170б  Близенько 2.00 грн",2025-10-27 20:45:51,23129,0.0,492.0,0.0,igor,igor
180,"Замарстинівська, 170б  Близенько 2.00 грн",2025-10-27 20:45:56,23129,0.0,0.0,1162.5,igor,igor
258,"Замарстинівська, 170н Близенько 2.00 грн",2025-10-27 20:58:46,23129,0.0,1074.0,0.0,igor,igor
258,"Замарстинівська, 170н Близенько 2.00 грн",2025-10-27 20:58:51,23129,0.0,0.0,2319.5,igor,igor
225,"Замарстинівська, 55г Близенько 2.00 грн",2025-10-27 20:13:49,23129,0.0,967.0,0.0,igor,igor
225,"Замарстинівська, 55г Близенько 2.00 грн",2025-10-27 20:13:55,23129,0.0,0.0,2527.5,igor,igor
225,"Замарстинівська, 55г Близенько 2.00 грн",2025-11-17 19:32:56,23129,0.0,0.0,2453.0,igor,igor
225,"Замарстинівська, 55г Близенько 2.00 грн",2025-11-17 19:33:04,23129,0.0,769.0,0.0,igor,igor
172,"Зарицьких, 5  Близенько 2.00 грн",2025-10-24 13:02:51,9576,0.0,3148.0,0.0,igor,igor
172,"Зарицьких, 5  Близенько 2.00 грн",2025-10-24 13:02:55,9576,0.0,0.0,0.0,igor,igor
172,"Зарицьких, 5  Близенько 2.00 грн",2025-10-24 13:03:07,9576,0.0,0.0,3635.5,igor,igor
172,"Зарицьких, 5  Близенько 2.00 грн",2025-11-13 15:41:36,23129,0.0,2820.0,0.0,igor,igor
172,"Зарицьких, 5  Близенько 2.00 грн",2025-11-13 15:41:41,23129,0.0,0.0,2658.5,igor,igor
326,"Зелена, 17 Сімі 2.00 грн",2025-10-26 15:58:59,0,0.0,3545.0,0.0,igor,igor
326,"Зелена, 17 Сімі 2.00 грн",2025-10-26 15:59:26,0,0.0,0.0,3848.0,igor,igor
326,"Зелена, 17 Сімі 2.00 грн",2025-11-13 16:20:06,23129,0.0,3517.0,0.0,igor,igor
326,"Зелена, 17 Сімі 2.00 грн",2025-11-13 16:20:11,23129,0.0,0.0,3284.0,igor,igor
165,"Зелена, 204  Близенько 2.00 грн",2025-10-25 17:42:30,14147,0.0,6037.0,0.0,ruslan,ruslan
165,"Зелена, 204  Близенько 2.00 грн",2025-10-25 17:42:39,14147,0.0,0.0,3808.0,ruslan,ruslan
280,"Зелена, 44  Близенько 2.00 грн",2025-10-31 11:58:43,14147,0.0,1741.0,0.0,ruslan,ruslan
280,"Зелена, 44  Близенько 2.00 грн",2025-10-31 11:58:48,14147,0.0,0.0,2184.5,ruslan,ruslan
57,"Зимна Вода, Тичини, 9  Близенько 1.50 грн",2025-10-25 12:08:57,0,0.0,10.0,0.0,ruslan,ruslan
57,"Зимна Вода, Тичини, 9  Близенько 1.50 грн",2025-10-25 12:09:04,0,0.0,0.0,1.75,ruslan,ruslan
209,"Золота, 25  Близенько 1.50 грн",2025-10-20 18:10:30,24662,0.0,0.0,1877.5,dmutro,dmutro
209,"Золота, 25  Близенько 1.50 грн",2025-10-20 18:29:01,24662,0.0,1442.0,0.0,dmutro,dmutro
209,"Золота, 25  Близенько 1.50 грн",2025-10-29 13:25:37,24662,0.0,630.0,0.0,dmutro,dmutro
209,"Золота, 25  Близенько 1.50 грн",2025-10-29 13:25:46,24662,0.0,0.0,942.0,dmutro,dmutro
282,"Йосифа Сліпого, 22 Близенько 2.00 грн",2025-10-31 12:35:25,14147,0.0,8363.0,0.0,ruslan,ruslan
282,"Йосифа Сліпого, 22 Близенько 2.00 грн",2025-10-31 12:35:35,14147,0.0,0.0,8398.5,ruslan,ruslan
242,"Караджича, 29б  Рукавичка 2.00 грн",2025-10-27 14:48:05,14147,0.0,705.0,0.0,ruslan,ruslan
242,"Караджича, 29б  Рукавичка 2.00 грн",2025-10-27 14:48:12,14147,0.0,0.0,883.0,ruslan,ruslan
175,"Кн.Ольги, 100к  Близенько 2.00 грн",2025-10-27 11:00:18,24662,0.0,1972.0,0.0,dmutro,dmutro
175,"Кн.Ольги, 100к  Близенько 2.00 грн",2025-10-27 11:00:27,24662,0.0,0.0,2068.0,dmutro,dmutro
224,"Кн.Ольги, 98л  Фрешка 2.00 грн",2025-10-27 10:45:40,24662,0.0,2042.0,0.0,dmutro,dmutro
